Time(sec),A5XU9JZ5IHLA1
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-97.3404761904762
18.0,-48.68333333333333
19.0,-33.89111111111111
20.0,-35.010000000000005
21.0,-39.15
22.0,-46.0
23.0,-46.0
24.0,-46.0
25.0,-43.8
26.0,-23.005844155844155
27.0,-22.0
28.0,-10.957936507936507
29.0,-3.0
30.0,-7.79318376068376
31.0,-35.12166666666667
32.0,-40.0
33.0,-40.0
34.0,-40.0
35.0,-40.825
36.0,-41.0
37.0,-41.0
38.0,-41.0
39.0,-41.0
40.0,-41.0
41.0,-41.0
42.0,-41.0
43.0,-41.0
44.0,-40.3390625
45.0,-32.00277777777778
46.0,-32.0
47.0,-28.170681818181816
48.0,-7.05625
49.0,-7.0
50.0,-7.0
51.0,2.1224451754385965
52.0,29.0
53.0,29.0
54.0,29.0
55.0,25.96666666666667
56.0,17.0
57.0,17.7865625
58.0,35.00775401069519
59.0,48.0
60.0,48.0
61.0,48.0
62.0,38.358333333333334
63.0,26.508333333333333
64.0,26.0
65.0,26.0
66.0,26.0
67.0,26.0
68.0,30.189879857690205
69.0,62.74571307300509
70.0,66.2304347826087
71.0,51.05595238095238
72.0,36.48809523809524
73.0,26.440476190476193
74.0,24.24404761904762
75.0,24.0
76.0,24.0
77.0,24.261764705882353
78.0,34.0
79.0,39.97984848484849
80.0,77.94545454545455
81.0,94.4576468344775
82.0,100.0
83.0,77.81303183229814
84.0,57.0
85.0,39.44090909090909
86.0,20.330238095238094
87.0,8.0
88.0,-5.816666666666666
89.0,-13.954545454545457
90.0,-17.96590909090909
91.0,-19.0
92.0,-19.0
93.0,-19.0
94.0,-19.0
95.0,-7.805869565217391
96.0,-1.4476086956521736
97.0,5.0
98.0,5.0
99.0,7.7625
100.0,30.1875
101.0,42.0
102.0,42.0
103.0,44.53
104.0,23.112211399711402
105.0,3.3484848484848486
106.0,3.3484848484848486
107.0,3.3484848484848486
108.0,3.3484848484848486
109.0,3.3484848484848486
110.0,3.3484848484848486
111.0,-10.406060606060606
112.0,-20.555
113.0,-30.0
114.0,-30.0
115.0,-30.0
116.0,-30.0
117.0,-30.0
118.0,-30.0
119.0,-30.0
120.0,-30.0
121.0,-30.0
122.0,-26.7171568627451
123.0,-4.188888888888888
124.0,-4.0
125.0,-4.0
126.0,-4.0
127.0,-4.0
128.0,-12.89736842105263
129.0,-32.06666666666667
130.0,-35.0
131.0,-42.272222222222226
132.0,-61.0
133.0,-61.0
134.0,-61.0
135.0,-61.0
136.0,-61.0
137.0,-61.0
138.0,-61.0
139.0,-61.0
140.0,-61.0
141.0,-61.0
142.0,-44.89310682893847
143.0,-16.40558608058608
144.0,-14.0
145.0,-14.0
146.0,-14.0
147.0,-14.0
148.0,-14.0
149.0,-14.0
150.0,-22.924351574212896
151.0,-27.082608695652176
152.0,-32.0
153.0,-32.0
154.0,-32.0
155.0,-32.0
156.0,-31.010714285714283
157.0,-5.74390756302521
158.0,-3.764705882352941
159.0,-3.764705882352941
160.0,-3.1882352941176473
161.0,3.0
162.0,3.0
163.0,3.0
164.0,3.0
165.0,3.0
166.0,3.0
167.0,3.0
168.0,3.0
169.0,3.0
170.0,3.0
171.0,2.4238461538461538
172.0,-20.03846153846154
173.0,-24.766666666666666
174.0,-34.75333333333333
175.0,-46.0
176.0,-46.0
177.0,-46.0
178.0,-46.0
179.0,-46.0
180.0,-48.102738095238095
181.0,-68.65333333333334
182.0,-69.0
183.0,-69.0
184.0,-69.0
185.0,-69.0
186.0,-69.0
